이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
오이토마토무침,"오이1개(150g), 완숙토마토2개(250g), 꽃소금1t(3g), 설탕1t(0.5g), 옛날 볶음참깨2T(8g), 다시마식초2t(6g), 이금기시즈닝맛간장1T(10g), 고소한 참기름1/2T(5g)","누구나 쉽게 만들 수 있는 일본식 무침 요리입니다._x000D_ 더운 여름철에 고소하고 상큼하게 즐겨보세요!_x000D_

Step 1 오이는 반으로 잘라 씨를 제거한 후 1.5cm 정도 크기로 썰고 꽃소금을 넣고 10분간 절인다. 다 절여진 오이는 찬물에 헹궈 물기를 제거한다.

Step 2 토마토는 씨를 제거한 후 오이와 비슷한 크기로 자른다.

Step 3 볼에 설탕, 다시마식초, 간장을 담고 곱게 간 참깨를 섞어 양념을 만든다.

Step 4 양념이 담긴 볼에 재료를 더해 골고루 버무려 완성한다.",반찬,채소,무침·비빔,스피드,,냄비
도토리묵무침,"바로 무쳐먹는 생깻잎무침양념2봉(100gX2), 도토리묵600g, 적상추7장(70g), 깻잎20장(30g), 오이1개(150g), 당근1/3개(50g), 옛날 볶음참깨1T(4g), 고소한 참기름1T(10g)","고소한 도토리묵을 가볍게 완성해볼까요?_x000D_ 냉장고에 있는 채소와 도토리묵을 오늘밥상 양념장으로 쉽고 간편하게 즐겨보세요_x000D_

Step 1 도토리묵을 끓는 물에 1~2분간 살짝 데치고 먹기 좋은 크기로 썬다. * 도토리묵을 자를 때 참기름을 사용하면 더욱 잘 썰립니다!

Step 2 상추, 깻잎도 한 입 크기로 뜯어주고 오이는 슬라이스, 당근은 채 썬다.

Step 3 볼에 손질한 재료들을 담고 생깻잎무침양념에 버무린다.

Step 4 마지막으로 참기름과 볶음참깨를 두르고 살짝 버무려 완성한다. * 기호에 따라 참기름을 더하셔도 좋습니다!",반찬,채소,무침·비빔,스피드,,기타
비어치킨,"오뚜기 진라거500 ml, 천일염10 g, 마늘분3 g, 흑설탕10 g, 오뚜기 오리지널 카레파우더소량, 손질한 닭1마리(800 g)","Step 1 닭을 제외한 모든 재료를 다 섞고, 살짝만 가열해 소금과 설탕을 녹인 후 식힌다.

Step 2 식힌 용액에 닭을 30분간 담가 염지한다.

Step 3 가열한 후라이팬에 기름을 두르고 염지한 닭을 2분간 굽는다.

Step 4 180도 오븐에서 20~25분간 구워 완성한다.",반찬,닭고기,구이,캠핑,크리스마스,후라이팬
오이무침,"다시마식초1큰술, 고춧가루1큰술, 고추장1큰술, 설탕2/3큰술, 물150ml?, 양조간장1/2큰술, 다진 마늘1/2큰술, 통깨적당량, 오이1개, 소금2/3큰술","입맛을 돋우는 매콤새콤한 오이무침 만들기! _x000D_ 부드러운 새콤한 맛이 특징인 다시마식초가 요리의 감칠맛을 더해주어_x000D_ 맛있는 우리집 반찬을 완성해준답니다._x000D_

Step 1 오이 1개를 어슷 썰어 준비해 줍니다.

Step 2 오이에 소금 2/3큰술을 넣어 10분간 절여줍니다.

Step 3 다시마식초 1큰술, 고추장 1큰술, 고춧가루 1큰술, 설탕 2/3큰술, 양조간장 1/2큰술, 다진 마늘 1/2큰술, 통깨 적당량을 넣고 버무려 마무리해줍니다",반찬,채소,무침·비빔,채식,,
연어장,"생연어 300g, 청양고추2개(20g), 오뚜기 간편장아찌소스1개(265g), 레몬 슬라이스1개, 미향 발효맛술 3T(30g), 양파1(200g), 물300ml","밥도둑 끝판왕으로 불리는 연어장! _x000D_ 오뚜기 간편장아찌소스만 있다면 이렇게 만들기 쉬울 수가 없죠?_x000D_ 부드러운 연어의 식감에 장아찌소스 감칠맛 얹고, 매콤아삭한 청양고추와 양파로 깔끔한 마무리!_x000D_

Step 1 연어는 키친타올로 눌러 기름기를 제거하고, 한입 크기로 썬다.

Step 2 청양고추는 링모양으로 송송 썰고, 양파는 먹기 좋은 크기로 썬다.

Step 3 밀폐용기에 손질한 연어와 채소를 골고루 넣는다.

Step 4 오뚜기 간편 장아찌소스와 물, 발효맛술을 섞어 부어준 후, 하루간 냉장 숙성 시켜 완성한다. Tip. 오뚜기밥에 버터를 녹인 버터밥 한숟갈에 연어장을 올려 먹으면 조합이 좋습니다.",반찬,해물,기타,"스피드, 파티, 1인분, 부드러운 식감, 간단 꿀조합",,기타
케일장아찌,"케일40장(230g), 양파1/3개(70g), 오뚜기 간편장아찌소스(265g)2개(530g), 청양고추2개(20g)","깻잎장아찌 대신 새로운 장아찌에 도전해보고 싶으신 분들 주목!_x000D_ 부드러운 잎과 아삭한 식감의 줄기를 함께 가진 케일로 장아찌 만들기 어떠세요?_x000D_ 케일의 연하고 넓은 잎에 갓 구운 고기를 싸먹으면 느끼함이 사라집니다._x000D_

Step 1 케일은 끓는 물에 약간의 소금을 더해 20초간 데친다. 데쳐 찬물에 건진다.

Step 2 양파는 한입 크기로 썰고 청양고추는 송송 썬다.

Step 3 밀폐용기에 케일과 손질된 양파&청양고추를 골고루 쌓아 간편장아찌소스를 붓는다.

Step 4 실온에서 반나절 보관 후 냉장 보관해 완성한다.

Step 5 Tip. 냉동삼겹살, 목살, 삼겹살구이와 함께 즐겨보세요.",반찬,채소,기타,"스피드, 브런치, 도시락, 1인분, 부드러운 식감",,기타
새콤달콤 닭날개구이,"제주담음 제주 한라봉마말레이드60g, 파1/3대(30g), 오뚜기 스위트칠리소스30g, 땅콩분태1T, 닭날개300g, 오뚜기 식용유1T, 다진 마늘1/2T(10g)","온 식구 반찬으로도, 아이들 간식으로도 좋은 새콤달콤한 닭날개 구이!_x000D_ 양념에 제주산 한라봉과 감귤이 들어가 더욱 특별해요._x000D_

Step 1 제주 한라봉마말레이드 : 오뚜기 스위트칠리소스 = 2:1 비율로 섞어 양념을 만든다.

Step 2 닭날개에 양념을 버무려 숙성한다.

Step 3 파는 다져 준비한다.

Step 4 프라이팬에 식용유를 두른 후 다져둔 파와 다진 마늘을 넣고 볶다가, 양념해둔 닭날개를 노릇노릇 20분이상 굽는다.

Step 5 기호에 따라 땅콩분태를 뿌려 완성한다.",반찬,닭고기,구이,"스피드, 야식, 파티, 키즈셰프, 간단 꿀조합",크리스마스,후라이팬
카레 소고기 채소볶음,"오리지널 카레파우더1g, 브로콜리4조각(40g), 소고기(안심 또는 등심)170g, 참기름1T, 미니 새송이버섯5조각(50g), 이금기 굴소스1T,  (10g), 양파1/4개, 파프리카1개(75g), (50g),  미향1T(5g), 소금, 후추약간","냉파 요리로 제격인 카레파우더 소고기 야채 볶음입니다. _x000D_ 냉장고에 있는 고기와 야채라면 그 어떤 것도 상관 없어요._x000D_ 오리지널 카레파우더만 있으면 훌륭한 한끼 반찬이 뚝딱_x000D_ 무가염, 무전분 카레파우더로 짜지 않고 끈적이지 않는 향긋한 카레맛 볶음요리를 즐겨보세요_x000D_

Step 1 냉장고의 각종 채소(미니 새송이버섯, 양파, 파프리카)와 소고기(안심 등)을 깍둑 썬다.

Step 2 소고기에 미향, 카레파우더, 굴소스를 버무려 간한다.

Step 3 후라이팬을 달궈 참기름을 두른 후 소고기를 볶다가 겉 색이 변하면 야채를 모두 넣고 고기가 다 익을 때까지 볶는다.

Step 4 브로콜리를 넣어 볶다가 익으면 소금과 후추로 간하여 완성한다.",반찬,"쇠고기, 채소",볶음,간단 꿀조합,카레데이,후라이팬
삼색 파프리카 장아찌,"재료명계량, 재료명계량, 파프리카(삼색)300g,  오뚜기 간편장아찌소스200g, 통마늘(소)10알","Step 1 알록달록한 색감의 빨간색, 주황색, 노란색 파프리카를 깨끗이 씻고 씨를 제거해줍니다.

Step 2 장아찌로 먹기에 좋은 한 입 크기로 파프리카를 잘라 줍니다.

Step 3 통마늘도 깨끗이 씻은 후 꼭지를 제거 해줍니다.

Step 4 파프리카와 통마늘을 밀폐용기에 넣고 간편장아찌소스를 부어 잘 섞어줍니다.",반찬,채소,기타,"스피드, 도시락, 1인분, 키즈푸드, 간단 꿀조합",,기타
밤조림,"깐밤 400g, 오뚜기 옛날 볶음참깨 1/2T, 이금기 팬더양조간장 2T, 물 300ml, 설탕 2T, 소금 1t, 오뚜기 벌꿀 아카시아 2T","Step 1 냄비에 물과 밤을 넣고 중약불에서 10분간 익힌다.

Step 2 간장, 꿀, 설탕, 소금을 더해 약불에서 15분간 조린다. Tip. 밤을 최소한으로 건드려 깨지는데 유의한다.

Step 3 양념이 거의 다 졸아들면, 깨를 뿌린것과 뿌리지 않은 것 두가지로 만든다.",반찬,채소,조림,"간식, 도시락, 키즈푸드, 채식, 부드러운 식감",,
황태콩나물찜,"황태포 1마리, 미나리 줄기 6대 (45g), 대파 1대, 콩나물 300g, 녹말가루 3T, 오뚜기 옛날 볶음참깨 1t, 오뚜기 고소한 참기름 1T, 오뚜기 멸치장국 3T, 물 500ml, 오뚜기 연겨자 1t, 간장 2T, 오뚜기 얼큰비법 매운탕양념 50g","Step 1 황태포는 적당량의 물에 5분간 불리고 머리를 잘라내 아가미를 깨끗이 씻고 몸통을 비늘과 지느러미, 검은막을 제거해 손질하고 크게 등분한다.

Step 2 미나리의 줄기는 깨끗이 손질 후 5cm로 자르고 대파는 크게 등분하고 콩나물은 머리와 꼬리를 다듬는다.

Step 3 물에 멸치장국을 넣어 끓인 후 황태와 양념을 넣어 10분간 끓인다.

Step 4 대파를 넣고 녹말물(녹말가루:물=1:1)을 넣어 5분간 끓여 농도를 맞춘다.

Step 5 미나리와 콩나물을 넣어 3분간 가열 후 참기름을 더해 그릇에 담고 깨를 뿌려 완성한다. Tip. 연겨자와 간장을 섞어 소스를 만들어 찍어 먹으면 맛이 좋다.",반찬,해물,찜,"야식, 해장, 셰프의 팁! 간편식 업그레이드",,냄비
가지조림,"가지 1개, 청양고추 1개, 오뚜기 프레스코 카놀라유 2T, 오뚜기 옛날 볶음참깨 1/2T, 오뚜기 소불고기양념 3T, 물 100ml","Step 1 가지를 크게 등분하고 양파는 채 썰고 청양고추는 송송 썬다.

Step 2 후라이팬에 카놀라유를 두르고 가지를 노릇하게 굽고 양파를 더해 볶는다.

Step 3 양념을 더해 3분간 센불에 끓이다가 중약불에 5분간 조린다.

Step 4 양념이 바닥에 조금 남으면 깨와 청양고추를 더해 완성한다.",반찬,채소,조림,"도시락, 채식, 부드러운 식감",,후라이팬
게살계란찜,"달걀	4개,	다진 당근 10g, 물 200ml, 다진 양파 10g, 오뚜기 옛날 볶음참깨 1t, 다진 대파 10g, 찢은 게살	60g, 미향 발효맛술 15g, 소금 4g","초간단 계란찜 만들기! _x000D_ 미향 발효맛술이 계란의 비릿함을 잡아주고 요리의 감칠맛을 더해주어_x000D_ 따뜻하고 맛있는 집밥을 완성해준답니다.

Step 1 곱게 푼 달걀물에 찢은 게살과 발효맛술, 소금, 다진 양파, 당근, 대파를 섞는다.

Step 2 전자레인지용 그릇에 담은 뒤 랩을 씌워 구멍을 뚫어준다.

Step 3 전자레인지에 3분 30초간 익힌 후 가볍게 한번 저어 4분 더 익힌다.

Step 4 마무리로 위에 깨를 뿌려 포슬포슬 부드러운 맛의 초간단 게살계란찜을 완성한다.",반찬,계란,찜,"스피드, 1인분",,전자레인지
파김치,"오뚜기 바로무쳐먹는 겉절이양념 270G(3봉), 오뚜기 옛날 볶음참깨 1T, 쪽파 270G, 오뚜기 연생강 취향껏(1/2T)	","쪽파를 손질해서 나만의 파김치를 간편하게 완성해보세요._x000D_ 오늘밥상 겉절이양념만 있으면 파김치가 뚝딱 만들어져요._x000D_ 오늘 담근 파김치의 짝꿍으로는 짜장라면을 추천합니다!

Step 1 쪽파는 뿌리를 잘라 깨끗하게 다듬고 흐르는 물에 씻어 이물질을 제거한 후 물기를 최대한 제거한다.

Step 2 준비된 쪽파에 겉절이양념을 골고루 묻혀준다.Tip. 시원한 맛을 더하고 싶다면 연생강을 조금 넣어준다.

Step 3 특히 흰 뿌리 부분에 양념을 많이 버무려주고 깨를 뿌려 완성한다.Tip. 완성한 파김치는 상온에 1일, 냉장고에 1일 숙성시킨 후 2주안에 취식한다.",반찬,채소,무침·비빔,"스피드, 간단 꿀조합",,기타
간편 겉절이보쌈,"오뚜기 바로무쳐먹는 겉절이양념 90G (1봉), 통후추 10알, 알배기배추 1/2포기, 돼지고기(수육용 목삼겹) 600G, 천일염 1/3컵, 통마늘 6쪽, 무말랭이 50G (1컵), 된장 2큰술","쌀쌀해지는 날씨에 어울리는 보쌈&겉절이 조합!_x000D_ 오뚜기 겉절이양념을 절인 배추에 조물조물 무쳐주기만 하면 겉절이 보쌈 완성이에요! 갓 담근 겉절이와 수육의 조화가 아주 맛있답니다.

Step 1 알배기는 겉잎을 떼고 밑동을 잘라 적당히 썰어 물에 헹궈 준비한다.

Step 2 절임용으로 천일염을 배추에 뿌려주고 골고루 버무려 1시간 정도 절인다. Tip. 중간에 한번씩 뒤적여 주세요. 쪽파를 추가해도 좋습니다.

Step 3 무말랭이는 미지근한 물에 담가 30분 이상 불리고 물기를 짜준다.

Step 4 배추가 절여지는 시간 동안 물에 통마늘, 통후추, 된장을 넣고 끓인 뒤 돼지고기를 넣어 1시간동안 푹 삶아준다.

Step 5 배추의 숨이 죽으면 찬물에 헹군 뒤 물기를 빼서 준비한다.

Step 6 물기를 뺀 배추에 무말랭이를 넣고, 오뚜기 겉절이양념을 넣어 바로 무쳐 준다.

Step 7 삶은 돼지고기 수육을 먹기 좋게 썰어 겉절이와 함께 그릇에 담는다.",반찬,"돼지고기, 채소","찜, 무침·비빔","스피드, 간단 꿀조합",,"냄비, 기타"
고등어 무조림,"고등어 1마리, 무 200g, 대파 30g, 양파 50g, 청양고추 2개, 홍고추 1개, 미향 발효맛술 30ml, 설탕 4g, 양조간장 50g, 고춧가루 6g, 물 500g, 오뚜기 옛날 물엿 10g, 다진마늘 20g, 후추 약간","쌀쌀해지는 계절, 집밥이 생각날 땐 고등어무조림을 만들어보세요._x000D_ 미향 발효맛술이 생선의 비린내를 잡아주면서 요리의 감칠맛을 더해주어_x000D_ 따뜻하고 맛있는 집밥을 완성해준답니다.

Step 1 고등어는 3등분 해주세요.

Step 2 무는 4cm*4cm, 대파와 청양고추, 홍고추는 어슷 썰기, 양파는 슬라이스로 잘라주세요.

Step 3 냄비에 무를 넣고 그 위에 고등어 양념장을 넣고 끓여 주세요.

Step 4 고등어가 거의 다 익었을 때 나머지 채소들을 넣고 한번 더 끓여 주면 완성입니다.",반찬,해물,조림,부드러운 식감,,냄비
반숙 달걀 장조림,"달걀8개, 간편장아찌소스2개(530ml), 통마늘8알, 양파1/2개, 소금약간, 화이트식초약간","간단하게 숙성하여 먹는 반숙달걀 장조림!_x000D_ 부드럽고 고소한 노른자를 밥에 비벼 먹으면 고소한 풍미가 최고에요._x000D_ 면 요리의 사이드 메뉴나 짭조롬한 간식으로도 즐겨보세요.

Step 1 양파는 먹기 좋은 크기로 잘라주고, 통마늘은 깨끗이 씻은 후 꼭지를 제거한다.

Step 2 끓는 물에 소금과 식초를 더해 계란을 7분 30초간 삶고 껍질을 벗겨 반숙란을 준비한다.

Step 3 장아찌소스와 달걀, 양파, 통마늘을 지퍼백 또는 밀폐용기에 담는다.

Step 4 냉장고에 3시간 이상 숙성하여 완성한다.",반찬,계란,조림,"스피드, 도시락, 부드러운 식감",,기타
파채무침 부침개,"대패 삼겹살12줄, 파채200g, 바로무쳐먹는 파채 양념1봉(90g), 부침가루30g","파채를 고추장양념으로 버무려 매콤! 앞뒤로 노릇노릇 바삭!_x000D_ 비오는날에도 딱! 막걸리와도 찰떡궁합이랍니다!_x000D_ 대패 삼겹살 대신 베이컨을 사용할 경우 양념의 양을 줄여주세요.

Step 1 파채는 찬물에 담가 매운맛을 빼고 대패 삼겹살은 부침개의 크기에 맞게 썰어 준비한다.

Step 2 파채에 파채 양념을 잘 섞어준 뒤 부침가루를 넣어 반죽한다.

Step 3 달군 팬에 삼겹살을 겹쳐 올리고 파채 반죽을 올린 후 약 불에서 10분간 앞뒤로 노릇하게 부쳐 완성한다.","반찬, 분식, 기타","돼지고기, 채소","구이, 무침·비빔","스피드, 야식, 간식, 캠핑",,후라이팬
쌈무,,"고기와 환상 짝궁 쌈무 만드는 방법을 소개합니다._x000D_ 간편 피클초 하나면 금방 만들 수 있어요. 특히나 맛과 영양이 좋은 가을철 무를 활용해보는 것은 어떠세요? 캠핑장에 챙겨가거나 예쁜 병에 담아 가까운 사람에게 선물해도 좋을 것 같아요.

Step 1 씻어서 껍질을 벗긴 무는 채칼을 이용해 슬라이스 한다.Tip. 두께가 너무 얇지 않아도 괜찮아요.

Step 2 피클초와 물을 섞은 후 지퍼백 또는 밀폐 용기에 손질한 무와 함께 담아 24시간 이상 냉장고에 숙성해 완성한다.",반찬,채소,기타,"스피드, 파티, 채식, 간단 꿀조합",,기타
